,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
5794,54.0,65403.0,1926,1,100.0,55.4,16.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1063.1,105.0,52.0,40.737232,-73.99029
5795,54.0,65403.0,1926,1,100.0,55.4,16.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1063.1,105.0,52.0,40.737232,-73.99029
5813,45.0,95935.0,1927,1,100.0,84.5,8.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,108.0,122.0,40.767928,-73.970036
5814,47.0,95935.0,1927,1,100.0,80.8,8.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,108.0,122.0,40.767928,-73.970036
5835,72.0,66998.0,1915,1,100.0,54.0,11.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4153.3,105.0,84.0,40.749679,-73.985426
5837,52.0,103788.0,1940,1,100.0,95.7,16.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1000.9,104.0,135.0,40.766019,-73.994932
5842,87.0,156332.0,1926,1,100.0,54.6,6.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1410.8,105.0,113.0,40.754817,-73.989984
5843,75.0,96486.0,1928,1,100.0,78.5,7.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,920.5,105.0,101.0,40.749155,-73.994056
5849,97.0,70222.0,1911,1,100.0,21.6,6.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1298.1,105.0,95.0,40.747138,-73.99118
5904,60.0,69450.0,1970,1,100.0,140.0,1.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1775.9,104.0,121.0,40.758166,-73.989933
5905,7.0,46200.0,1956,1,100.0,170.6,24.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2457.5,101.0,39.0,40.719704,-74.010242
5922,47.0,612514.0,1973,1,100.0,89.0,16.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,101.0,13.0,40.710223,-74.010897
5927,95.0,60000.0,1916,1,100.0,77.5,9.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1393.6,105.0,58.0,40.743484,-73.990242
