,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
20805,94.0,119223.0,1920,1,100,39.0,5.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1322.6,8,0,0,101.0,1502.0,-74.008949,40.709916
20806,82.0,51613.0,1921,1,100,34.7,10.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,68.0,-73.98466,40.74114
20807,71.0,39505.0,1918,1,100,52.1,15.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,100.0,-73.973726,40.757516
20835,58.0,221227.0,1912,1,95,87.1,11.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,3384.0,9,0,0,105.0,101.0,-73.989472,40.74882
20836,35.0,58342.0,1915,1,95,106.9,12.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,102.0,-73.97627,40.758136
20840,99.0,42327.0,1925,1,100,56.3,5.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,137.3,4,0,0,105.0,101.0,-73.993731,40.749018
20850,8.0,796646.0,2001,1,100,120.2,27.14799999999996,0.0,79.5,0.0,0.30485,0.30485,0.0,0.0,95.71428571428571,100.0,4096.181922693163,13,2,0,106.0,11203.0,-73.968118,40.76139
20858,78.0,28780.0,1920,1,90,33.9,10.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,803.6,3,0,0,102.0,41.0,-73.996652,40.717094
20954,84.0,108290.0,1917,1,100,67.9,7.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,662.8,4,0,0,105.0,74.0,-73.985113,40.74482
20967,99.0,45449.0,1921,1,75,16.6,3.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,751.8,4,0,0,104.0,91.0,-73.992937,40.744648
