,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
2578,59,153600.0,1963.0,1,100,3.7,0.7,573805.6,511.6,4.4,3.3,79.5,0.0,0.0,1.08073,0.79427,0.79427,0.0,0.0,0.0,100.0,4719.5,4.0,0,0,208.0,30701.0,-73.911425,40.88786849
2689,20,66000.0,1928.0,1,100,6.3,0.3,439568.5,343.8,6.7,4.9,79.5,0.0,0.0,1.07576,0.90909,0.0,60.0,0.90909,90.0,100.0,10475.1,14.0,0,0,209.0,21601.0,-73.8646,40.838167
2694,69,395521.0,1949.0,3,100,3.9,0.8,1545502.0,1458.2,4.8,3.7,79.5,0.0,0.0,1.50182,1.16808,0.0,190.0,1.16808,0.0,100.0,19188.8,29.29159999999996,0,0,208.0,323.0,-73.906298,40.88786849
2710,92,80000.0,1955.0,1,100,3.3,0.6,265117.7,241.2,3.9,3.0,79.5,0.0,0.0,1.9625,0.8375,0.8375,0.0,0.0,0.0,100.0,3171.5,5.0,0,0,208.0,297.0,-73.912359,40.88445
2712,63,151800.0,1961.0,1,100,4.2,0.6,634269.3,567.3,4.9,3.7,79.5,0.0,0.0,1.39657,0.61265,0.61265,0.0,0.0,100.0,100.0,6276.2,7.0,0,0,208.0,30701.0,-73.909777,40.88786849
2713,65,107627.0,1961.0,1,100,4.4,0.8,468939.4,393.6,4.9,3.7,79.5,0.0,0.0,1.70032,0.95701,0.0,103.0,0.95701,0.0,100.0,4231.0,5.0,0,0,208.0,351.0,-73.897216,40.88786849
2795,69,54000.0,1997.0,1,100,4.9,0.8,264439.6,216.8,5.4,4.0,79.5,0.0,0.0,2.37037,1.18518,0.0,64.0,1.18518,0.0,100.0,2922.0,6.0,0,0,208.0,345.0,-73.896415,40.88786849
2798,59,85523.0,1965.0,1,100,3.4,0.0,294615.7,492.5,6.7,5.8,79.5,0.0,0.0,1.37975,0.88865,0.0,76.0,0.88865,80.0,100.0,2914.0,4.0,0,0,208.0,351.0,-73.898158,40.88786849
2803,70,117929.0,1926.0,1,100,3.9,0.6,456767.4,368.5,4.2,3.1,79.5,0.0,0.0,1.17868,0.59358,0.0,70.0,0.59358,80.0,100.0,3800.9,17.0,0,0,208.0,295.0,-73.908827,40.88786849
2807,67,58234.0,2009.0,1,100,6.8,0.7,393490.4,201.9,5.3,3.5,79.5,0.0,0.0,2.47278,1.25356,0.0,73.0,1.25356,0.0,100.0,3403.6,5.0,0,0,209.0,31.0,-73.857597,40.819107
