,score,property_id,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
1305,77,2609681.34,1952.0,2,100,4.3,0.7,903070.8,4.3,3.1,79.5,0.0,0.0,1.39684,0.0,1.11056,0.0,190.0,1.11056,90.0,100.0,18842.7,18.0,0,0,205.0,247.0,-73.916191,40.856704
1306,99,2609681.34,1928.0,3,100,3.7,0.1,753958.2,2.6,1.6,79.5,0.0,0.0,1.09453,0.0,0.86035,0.0,169.0,0.86035,90.0,100.0,14647.6,15.0,0,0,204.0,189.0,-73.92822874,40.831025
1307,58,2609681.34,1951.0,1,100,5.8,0.7,436205.2,4.9,3.3,79.5,0.0,0.0,1.47518,0.0,1.38841,0.0,96.0,1.38841,90.0,100.0,4462.6,16.0,0,0,204.0,18302.0,-73.920361,40.827792
1308,80,2609681.34,1963.0,1,100,4.2,0.5,396779.7,3.6,2.4,79.5,0.0,0.0,1.1597,0.0,0.85272,0.0,75.0,0.85272,90.0,100.0,5290.5,5.0,0,0,207.0,263.0,-73.907437,40.863664
1325,23,2609681.34,1925.0,1,100,5.9,0.1,310237.4,8.9,7.2,79.5,0.0,0.0,1.87189,0.0,1.03344,0.0,53.0,1.03344,90.0,100.0,6852.9,8.0,0,0,207.0,39901.0,-73.89546,40.862836
1327,58,2609681.34,1930.0,1,100,5.1,0.0,402412.2,5.9,4.5,79.5,0.0,0.0,1.19241,0.0,0.90786,0.0,67.0,0.90786,90.0,100.0,4594.425778134381,19.0,0,0,207.0,423.0,-73.879477,40.875223
1331,58,2609681.34,1930.0,1,100,5.7,0.0,356468.3,5.8,4.2,79.5,0.0,0.0,1.08482,0.0,0.96429,0.0,56.0,0.96429,90.0,100.0,4305.1,11.0,0,0,204.0,17901.0,-73.916246,40.835998
1377,98,2609681.34,2009.0,1,100,1.9,0.5,199224.6,3.1,2.6,79.5,0.0,0.0,1.51583,0.0,0.95402,0.0,90.0,0.95402,90.0,100.0,6435.6,6.0,0,0,203.0,185.0,-73.909054,40.828264
1381,58,2609681.34,1956.0,2,100,8.4,0.0,1219900.0,8.3,5.9,79.5,0.0,0.0,1.48463,0.0,0.98886,0.0,140.0,0.98886,0.0,100.0,9165.9,6.0,0,0,207.0,413.0,-73.886286,40.875123
1388,100,2609681.34,1941.0,1,100,2.6,0.0,516917.6,2.4,1.7,79.5,0.0,0.0,1.0549,0.0,0.75953,0.0,144.0,0.75953,0.0,100.0,6850.7,25.0,1,0,208.0,323.0,-73.90692,40.88786849
1422,100,2609681.34,2007.0,1,100,0.9,0.5,50400.0,2.7,2.5,79.5,0.0,0.0,1.54109,82.0,0.96465,0.96465,0.0,0.0,80.0,100.0,6885.8,7.0,0,0,204.0,195.0,-73.922213,40.83213
1423,97,2609681.34,1924.0,1,100,1.5,0.6,145926.4,3.6,3.2,79.5,0.0,0.0,1.70182,0.0,0.81039,0.0,80.0,0.81039,70.0,90.0,7084.1,6.0,0,0,205.0,21501.0,-73.918117,40.848568
1424,100,2609681.34,1925.0,1,100,1.3,0.1,84556.1,1.0,0.6,79.5,0.0,0.0,1.51632,0.0,0.74269,0.0,48.0,0.74269,0.0,80.0,3922.0,5.0,0,0,205.0,21502.0,-73.916242,40.84754
1425,100,2609681.34,1926.0,1,100,1.3,0.5,89393.6,2.8,2.5,79.5,0.0,0.0,1.47022,0.0,0.88213,0.0,60.0,0.88213,90.0,90.0,5768.9,7.0,0,0,205.0,20501.0,-73.921002,40.847628
1426,88,2609681.34,1923.0,1,100,2.0,0.8,112179.4,4.6,4.1,79.5,0.0,0.0,1.88043,0.0,0.67412,0.0,38.0,0.67412,70.0,90.0,4685.7,4.0,0,0,205.0,21501.0,-73.918445,40.849441
1427,87,2609681.34,1923.0,2,100,1.6,0.8,182147.1,4.3,3.8,79.5,0.0,0.0,1.51816,0.0,0.93797,0.0,97.0,0.93797,65.88,88.23,9708.7,7.0,0,0,205.0,21501.0,-73.919136,40.848568
1428,99,2609681.34,1924.0,1,100,1.4,0.6,65921.3,3.1,2.7,79.5,0.0,0.0,1.70171,0.0,0.86162,0.0,40.0,0.86162,70.0,80.0,2177.6,5.0,0,0,205.0,21501.0,-73.921252,40.84728
1438,34,2609681.34,1963.0,1,100,6.5,0.0,318374.6,9.5,7.7,79.5,0.0,0.0,2.27058,0.0,1.59781,0.0,76.0,1.59781,90.0,100.0,3914.6,7.0,0,0,209.0,222.0,-73.854702,40.836088
1439,63,2609681.34,1930.0,1,100,3.7,0.8,349512.1,5.0,4.0,79.5,0.0,0.0,1.60792,0.0,0.94965,0.0,88.0,0.94965,90.0,100.0,7494.4,9.0,0,0,209.0,92.0,-73.854496,40.833162
1440,70,2609681.34,1928.0,1,100,4.2,0.7,545320.9,4.6,3.4,79.5,0.0,0.0,1.60249,0.0,0.96784,0.0,122.0,0.96784,90.0,100.0,10859.5,14.0,0,0,209.0,92.0,-73.854481,40.8332
1441,63,2609681.34,1928.0,1,100,4.3,0.5096468802428696,481555.6,5.1,3.8,79.5,0.0,0.0,1.69555,0.0,1.16452,0.0,125.0,1.16452,90.0,100.0,4594.425778134381,15.0,0,0,211.0,256.0,-73.847756,40.845856
