,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
11601,58.519394179544754,22850.0,1910,1,100,5.4,0.1,142508.7,14.0,2.0,0.5,79.5,0.0,0.0,0.91904,0.61269,0.0,14.0,0.61269,90.0,100.0,4594.425778134381,14.0,0,0,104.0,87.0,-73.99786,40.742595,C
11602,58.519394179544754,41630.0,1920,1,100,5.4,0.0,257913.8,164.9,4.9,3.5,79.5,0.0,0.0,1.15302,0.38434,0.38434,0.0,0.0,90.0,100.0,1204.5,11.0,0,0,108.0,142.0,-73.961499,40.777766,C
11603,58.519394179544754,29450.0,1928,1,100,11.7,0.5096468802428696,391519.1,104.0,6.3,3.1,79.5,0.0,0.0,0.8489,0.33956,0.0,10.0,0.33956,90.0,100.0,658.4,6.0,0,0,102.0,61.0,-73.990348,40.731506,C
11610,58.519394179544754,34613.0,1961,1,65,7.5,0.6,258279.8,98.3,4.9,2.8,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,4594.425778134381,4.0,0,0,101.0,12.0,-74.006369,40.708006,C
11611,85.0,36849.0,2009,1,100,7.4,0.3,393015.0,68.1,3.3,1.3,79.5,0.0,0.0,3.20226,0.92268,0.0,34.0,0.92268,90.0,100.0,1164.9,6.0,0,0,111.0,164.0,-73.944103,40.78717,B
11613,13.0,27381.0,1920,1,100,11.9,0.9,326221.1,121.9,7.7,4.5,79.5,0.0,0.0,1.89913,1.89913,0.0,52.0,1.867627100000005,90.0,100.0,3507.6,4.0,0,0,104.0,87.0,-73.998069,40.742664,D
11614,35.0,42177.0,1930,1,100,4.2,1.0,176988.3,208.6,6.1,4.9,79.5,0.0,0.0,1.54112,1.13806,0.0,48.0,1.13806,90.0,100.0,4594.425778134381,9.0,0,0,112.0,263.0,-73.938852,40.846283,D
11615,36.0,26300.0,2001,1,100,7.0,1.0,184108.5,124.2,6.6,4.7,79.5,0.0,0.0,2.85171,1.48289,0.15209,18.0,0.68441,100.0,100.0,1185.9,5.0,0,0,103.0,16.0,-73.99021,40.716492,D
11616,70.0,791127.7400000003,1932,1,100,9.4,0.1,6905637.348000004,588.8,3.7,0.6,79.5,0.0,0.0,0.98799,0.77222,0.77222,0.0,0.0,100.0,100.0,27102.450000000026,5.0,0,0,101.0,12.0,-74.007895,40.708006,C
11623,58.519394179544754,16711.92,1920,1,100,11.0,0.6,121302.5,31.7,5.9,2.9,79.5,0.0,0.0,2.0,1.0,0.0,11.0,1.0,90.0,100.0,4594.425778134381,4.0,0,0,110.0,212.0,-73.938548,40.81484,C
